sample_id,distance,dist_factor,trans_err,trans_perc_err,yaw_err,KF
7,348.07,dist4,267.29146097942174,76.79244432999735,172.8256852725525,no
8,348.07,dist4,202.41457842450265,58.1534112174283,173.2921295805702,no
9,348.07,dist4,178.79383963846325,51.36720764169944,173.70598869709494,no
10,348.07,dist4,157.02393036702028,45.11274466831967,174.48181920186042,no
11,348.07,dist4,135.69535165095698,38.98507531558508,173.92643842860235,no
12,348.07,dist4,125.61237609227828,36.08825124034771,174.02890150374196,no
13,348.07,dist4,81.2652391108924,23.3473838914277,173.18137143065218,no
14,348.07,dist4,61.392620522200566,17.63800974579842,172.63132536728995,no
15,348.07,dist4,42.388117490159495,12.178043925118368,172.55413304922905,no
16,348.07,dist4,35.92517557853757,10.321250202125311,171.76500400934944,no
17,348.07,dist4,45.775619993087965,13.151268421032542,170.2777963939478,no
18,348.07,dist4,58.54414061640804,16.819645650704757,170.52198018844976,no
19,348.07,dist4,93.96470842462972,26.995922781230718,170.65345347852042,no
20,348.07,dist4,120.939372378544,34.745704133807564,169.55090387540213,no
21,348.07,dist4,148.99057775361806,42.80477425621802,170.03510249069524,no
22,348.07,dist4,214.18695366137703,61.535597340011215,169.55576241467855,no
23,348.07,dist4,228.8225741264158,65.74038961312834,169.54122486117095,no
24,348.07,dist4,255.17706520621252,73.31199620944425,169.72828970146296,no
25,348.07,dist4,281.7217094754208,80.93823353791502,169.55718549506128,no
26,348.07,dist4,331.43682047719426,95.22131194219388,161.3876060020518,no
27,348.07,dist4,342.2969302756198,98.34140554360324,161.44899941624558,no
28,348.07,dist4,365.2763263533442,104.94335230078552,135.56634754648812,no
29,348.07,dist4,357.31458008343714,102.65595428604507,117.32574364473018,no
30,348.07,dist4,341.82197467202406,98.20495149597038,90.21567064576124,no
31,348.07,dist4,266.54506582397994,76.57800609761829,97.74269081090564,no
32,348.07,dist4,166.15300051048752,47.73551311819103,43.37993589626739,no
33,348.07,dist4,57.28416908084539,16.457657678296144,59.97896752458691,no
34,348.07,dist4,44.22218822302086,12.70496975407845,96.93229923657816,no
35,348.07,dist4,214.79561880875627,61.71046594327471,145.38836840748093,no
36,348.07,dist4,270.02178119785066,77.57686132038116,154.5870354051753,no
37,348.07,dist4,315.04958437505127,90.51328306807576,159.95078666160768,no
38,348.07,dist4,310.19015716394034,89.1171767644268,162.93402088633323,no
39,348.07,dist4,308.1400522933187,88.52818464484693,164.78291981975931,no
40,348.07,dist4,264.0400652749892,75.85832311747328,162.22853631267543,no
41,348.07,dist4,234.6009815529129,67.40051758350702,161.4079749562024,no
42,348.07,dist4,208.02034545771363,59.76393985626847,161.7715181932068,no
43,348.07,dist4,193.9353249785996,55.71733415077416,161.97101054283243,no
44,348.07,dist4,117.06195741437745,33.631728507017975,160.94247230205755,no
45,348.07,dist4,92.21863349625902,26.494278017714542,160.7496439056731,no
46,348.07,dist4,82.24860045137187,23.62990216087909,161.1452054346592,no
47,348.07,dist4,56.32637430789599,16.182484646161978,161.58724999953313,no
